_timestamp,03_hivemind/overshot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,_step,04_peers/peer_1_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated
1681402009.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,201680,187,0.0,,244.58,32672,0.5,106,0.0,,1485.05,10144.0,22528.0
1681402010.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,203735,188,0.0,,244.58,32672,0.5,107,0.0,,1485.05,10144.0,22528.0
1681402012.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,205791,190,0.0,,244.58,32672,0.5,108,0.0,,1485.05,10144.0,22528.0
1681402013.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,207847,191,0.0,,244.58,32672,0.5,109,0.0,,1485.05,10144.0,22528.0
1681402014.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,209897,192,0.0,,244.58,32672,0.5,110,0.0,,1485.05,10144.0,22528.0
1681402015.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,211950,193,0.0,,244.58,32672,0.5,111,0.0,,1485.05,10144.0,22528.0
1681402016.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,214005,194,0.0,,244.58,32672,0.5,112,0.0,,1485.05,10144.0,22528.0
1681402018.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,216057,196,0.0,,244.58,32672,0.5,113,0.0,,1485.05,10144.0,22528.0
1681402019.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,218106,197,0.0,,244.58,32672,0.5,114,0.0,,1485.05,10144.0,22528.0
1681402020.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,220154,198,0.0,,244.58,32672,0.5,115,0.0,,1485.05,10144.0,22528.0
1681402021.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,222219,199,0.0,,244.58,32672,0.5,116,0.0,,1485.05,10144.0,22528.0
1681402022.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,224277,200,0.0,,244.58,32672,0.5,117,0.0,,1485.05,10144.0,22528.0
1681402024.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,226329,202,0.0,,244.58,32672,0.5,118,0.0,,1485.05,10144.0,22528.0
1681402025.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,228386,203,0.0,,244.58,32672,0.5,119,0.0,,1485.05,10144.0,22528.0
1681402026.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,230435,204,0.0,,244.58,32672,0.5,120,0.0,,1485.05,10144.0,22528.0
1681402027.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,232483,205,0.0,,244.58,32672,0.5,121,0.0,,1485.05,10144.0,22528.0
1681402028.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,234537,206,0.0,,244.58,32672,0.5,122,0.0,,1485.05,10144.0,22528.0
